State,Abbrev,Electoral votes,Population,Poll N,Clinton,Cl_error,Trump,Tr_error,Johnson,Jo_error
Alabama,AL,9,4833722,379,23.00,1.18,54.00,2.77,4.00,0.21
Alaska,AK,3,735132,660,31.00,1.21,36.00,1.40,18.00,0.70
Arizona,AZ,11,6626624,550,43.00,1.83,42.00,1.79,5.00,0.21
Arkansas,AR,6,2959373,831,34.00,1.18,55.00,1.91,3.00,0.10
California,CA,55,38332521,1055,47.00,1.45,31.00,0.95,10.00,0.31
Colorado,CO,9,5268367,1246,40.00,1.13,40.00,1.13,10.00,0.28
Connecticut,CT,7,3596080,1000,50.00,1.58,35.00,1.11,9.00,0.28
Delaware,DE,3,925749,762,51.00,1.85,30.00,1.09,7.00,0.25
District of Columbia,DC,3,646449,316,80.00,4.50,14.00,0.79,5.00,0.28
Florida,FL,29,19552860,985,46.00,1.47,42.00,1.34,5.00,0.16
Georgia,GA,16,9992167,1400,42.00,1.12,48.00,1.28,4.00,0.11
Hawaii,HI,4,1404054,304,64.00,3.67,32.00,1.84,2.00,0.11
Idaho,ID,4,1612136,602,23.00,0.94,44.00,1.79,13.00,0.53
Illinois,IL,20,12882135,865,53.00,1.80,28.00,0.95,5.00,0.17
Indiana,IN,11,6570902,874,36.00,1.22,45.00,1.52,10.00,0.34
Iowa,IA,6,3090416,642,39.00,1.54,43.00,1.70,6.00,0.24
Kansas,KS,6,2893957,595,36.00,1.48,48.00,1.97,8.00,0.33
Kentucky,KY,8,4395295,370,37.00,1.92,57.00,2.96,6.00,0.31
Louisiana,LA,8,4625470,905,35.00,1.16,45.00,1.50,6.00,0.20
Maine,ME,4,1328302,892,44.00,1.47,36.00,1.21,9.00,0.30
Maryland,MD,10,5928814,706,63.00,2.37,27.00,1.02,4.00,0.15
Massachusetts,MA,11,6692824,700,47.00,1.78,34.00,1.29,9.00,0.34
Michigan,MI,16,9895622,600,42.00,1.71,31.00,1.27,10.00,0.41
Minnesota,MN,10,5420380,625,46.00,1.84,39.00,1.56,6.00,0.24
Mississippi,MS,6,2991207,324,42.00,2.33,54.00,3.00,4.00,0.22
Missouri,MO,10,6044171,2171,42.00,0.90,47.00,1.01,4.00,0.09
Montana,MT,3,1015165,496,40.00,1.80,54.00,2.42,6.00,0.27
Nebraska,NE,5,1868516,700,29.00,1.10,56.00,2.12,7.00,0.26
Nevada,NV,6,2790136,986,47.00,1.50,43.00,1.37,10.00,0.32
New Hampshire,NH,4,1323459,501,41.00,1.83,38.00,1.70,11.00,0.49
New Jersey,NJ,14,8899339,638,46.00,1.82,40.00,1.58,6.00,0.24
New Mexico,NM,5,2085287,594,46.00,1.89,33.00,1.35,14.00,0.57
New York,NY,29,19651127,676,52.00,2.00,31.00,1.19,7.00,0.27
North Carolina,NC,15,9848060,743,45.00,1.65,41.00,1.50,9.00,0.33
North Dakota,ND,3,723393,400,32.00,1.60,43.00,2.15,8.00,0.40
Ohio,OH,18,11570808,724,41.00,1.52,42.00,1.56,9.00,0.33
Oklahoma,OK,7,3850568,515,36.00,1.59,51.00,2.25,6.00,0.26
Oregon,OR,7,3930065,854,48.00,1.64,38.00,1.30,6.00,0.21
Pennsylvania,PA,20,12773801,806,48.00,1.69,39.00,1.37,6.00,0.21
Rhode Island,RI,4,1051511,600,52.00,2.12,32.00,1.31,5.00,0.20
South Carolina,SC,9,4774839,475,38.00,1.74,42.00,1.93,7.00,0.32
South Dakota,SD,3,844877,317,42.00,2.36,54.00,3.03,4.00,0.22
Tennessee,TN,11,6495978,1000,33.00,1.04,44.00,1.39,7.00,0.22
Texas,TX,38,26448193,638,43.00,1.70,47.00,1.86,3.00,0.12
Utah,UT,6,2900872,403,28.00,1.39,34.00,1.69,29.00,1.44
Vermont,VT,3,626630,600,47.00,1.92,26.00,1.06,13.00,0.53
Virginia,VA,13,8260405,600,46.00,1.88,43.00,1.76,6.00,0.24
Washington,WA,12,6971406,700,44.00,1.66,38.00,1.44,7.00,0.26
West Virginia,WV,5,1854304,500,28.00,1.25,60.00,2.68,4.00,0.18
Wisconsin,WI,10,5742713,878,44.00,1.48,37.00,1.25,9.00,0.30
Wyoming,WY,3,582658,402,19.00,0.95,54.00,2.69,10.00,0.50
